"","molecular_formula","C","H","O","N","P","S","AImod","NOSC","GFE","HC","OC","El","Class1","Class2","Class3"
"C11 H10 O5","C11 H10 O5",11,10,5,0,0,0,0.5294,0,60.3,0.91,0.45,"CHO","Lignin","aromatic","aromatic"
"C8 H14 O7","C8 H14 O7",8,14,7,0,0,0,-0.3333,0,60.3,1.75,0.88,"CHO","Carbohydrate","aliphatic","aliphatic"
"C12 H14 O4","C12 H14 O4",12,14,4,0,0,0,0.4,-0.5,74.55,1.17,0.33,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C9 H18 O4 S1","C9 H18 O4 S1",9,18,4,0,0,1,-0.3333,-0.8889,85.63365,2,0.44,"CHOS","Protein","aliphatic","lipid"
"C9 H18 O6","C9 H18 O6",9,18,6,0,0,0,-0.3333,-0.6667,79.30095,2,0.67,"CHO","Other","aliphatic","lipid"
"C13 H18 O3","C13 H18 O3",13,18,3,0,0,0,0.3043,-0.9231,86.60835,1.38,0.23,"CHO","Other","unsaturated/lignin","unsaturated/lignin"
"C14 H22 O2","C14 H22 O2",14,22,2,0,0,0,0.2308,-1.2857,96.94245,1.57,0.14,"CHO","Lipid","aliphatic","aliphatic"
"C10 H9 O5 N1","C10 H9 O5 N1",10,9,5,1,0,0,0.5385,0.4,48.9,0.9,0.5,"CHON","Lignin","aromatic","aromatic"
"C10 H10 O5 13C1","C10 H10 O5 13C1",10,10,5,0,0,0,0.4667,0,60.3,1,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C7 H13 O7 N1","C7 H13 O7 N1",7,13,7,1,0,0,-1,0.5714,44.0151,1.86,1,"CHON","Carbohydrate","aliphatic","aliphatic+N"
"C11 H13 O4 N1","C11 H13 O4 N1",11,13,4,1,0,0,0.375,-0.1818,65.4813,1.18,0.36,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C12 H17 O3 N1","C12 H17 O3 N1",12,17,3,1,0,0,0.2632,-0.6667,79.30095,1.42,0.25,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C13 H22 O2 13C1","C13 H22 O2 13C1",13,22,2,0,0,0,0.1667,-1.3846,99.7611,1.69,0.15,"CHO","Lipid","aliphatic","aliphatic"
